0.08352027088403702,0.05838977048794428,0.09690962731838226,0.15426029761632284,0.08456054329872131,0.12610717862844467,0.13442299018303552,0.15545052289962769,0.21043646583954492,0.2009654144446055
0.28419611354668933,0.1754981353878975,0.33075004319349927,0.35296983023484546,0.17659415304660797,0.1734126110871633,0.22908584276835123,0.2888786296049754,0.34620509048302966,0.37841691573460895
0.18870078523953757,0.12587887048721313,0.17367152372996011,0.17514249185721079,0.16007604946692786,0.21618146200974783,0.2293227513631185,0.2271191676457723,0.3076023856798808,0.3490365346272786
0.1734262928366661,0.11433185388644536,0.19089015821615854,0.17878216753403345,0.17904905726512274,0.19538931051890054,0.2898352195819219,0.2840566982825597,0.42442865173021954,0.4362633327643077
0.16692615300416946,0.13546600689490637,0.1538566748301188,0.15801682571570078,0.17222685615221658,0.21082626779874167,0.2102688948313395,0.2635163863499959,0.38285935918490094,0.3394776980082194
0.42599151531855267,0.2466119329134623,0.23686537643273672,0.21139473716417947,0.3418539712826411,0.21051372587680817,0.376398503780365,0.2867514193058014,0.34521310528119403,0.5196268757184347
0.15507854550378397,0.24167522406205535,0.40875641697319226,0.4244030312821269,0.41576493948465215,0.314357243408449,0.40353821478784085,0.37854536034166814,0.4272765822662041,0.4826904692966491
0.8305214047431946,0.9151240885257721,1.4171914060910542,1.7323499123255413,2.2408055861790976,2.4692887465159097,2.96394673983256,3.329272190729777,3.8019144535064697,3.0781885782877603

jam_light下，llm4cp_head对比基线，U2U3.5_LLM4CP_tdd_light_sched.pth.last.pth

(llm4cp_env) wdz@aoyou2025:~/LLM4CP/LLM4CP$ /home/wdz/.conda/envs/llm4cp_env/bin/python /home/wdz/LLM4CP/LLM4CP/test_tdd_full.py --use-jammer --jammer-cfg configs/jammer_light.json --jam-gate=0.55
Total model nums: 8
---------------------------------------------------------------
loading  1 th model...... gpt
speed 0 :  NMSE: 0.08352027088403702 SE: 7.052451928456624 SE0: 7.3309173583984375 SE_per 0.9620149271464917
speed 1 :  NMSE: 0.05838977048794428 SE: 6.97530730565389 SE0: 7.3309173583984375 SE_per 0.9514917389790032
speed 2 :  NMSE: 0.09690962731838226 SE: 6.967539310455322 SE0: 7.3309173583984375 SE_per 0.9504321178130835
speed 3 :  NMSE: 0.15426029761632284 SE: 6.351052602132161 SE0: 7.3309173583984375 SE_per 0.8663380436087272
speed 4 :  NMSE: 0.08456054329872131 SE: 6.669977029164632 SE0: 7.3309173583984375 SE_per 0.9098420706548247
speed 5 :  NMSE: 0.12610717862844467 SE: 6.844714005788167 SE0: 7.3309173583984375 SE_per 0.9336776928670097
speed 6 :  NMSE: 0.13442299018303552 SE: 6.764822324117024 SE0: 7.3309173583984375 SE_per 0.9227797823102065
speed 7 :  NMSE: 0.15545052289962769 SE: 6.7043813069661455 SE0: 7.3309173583984375 SE_per 0.9145351092091468
speed 8 :  NMSE: 0.21043646583954492 SE: 6.576833566029866 SE0: 7.3309173583984375 SE_per 0.8971365034548263
speed 9 :  NMSE: 0.2009654144446055 SE: 6.432413101196289 SE0: 7.3309173583984375 SE_per 0.877436313454986
---------------------------------------------------------------
loading  2 th model...... transformer
speed 0 :  NMSE: 0.28419611354668933 SE: 6.73828140894572 SE0: 7.3309173583984375 SE_per 0.9191593738573819
speed 1 :  NMSE: 0.1754981353878975 SE: 6.655035177866618 SE0: 7.3309173583984375 SE_per 0.9078038739916341
speed 2 :  NMSE: 0.33075004319349927 SE: 6.499285856882731 SE0: 7.3309173583984375 SE_per 0.886558330852963
speed 3 :  NMSE: 0.35296983023484546 SE: 5.975852807362874 SE0: 7.3309173583984375 SE_per 0.8151575737676028
speed 4 :  NMSE: 0.17659415304660797 SE: 6.374978065490723 SE0: 7.3309173583984375 SE_per 0.8696016820033344
speed 5 :  NMSE: 0.1734126110871633 SE: 6.672255833943685 SE0: 7.3309173583984375 SE_per 0.910152919170453
speed 6 :  NMSE: 0.22908584276835123 SE: 6.570522308349609 SE0: 7.3309173583984375 SE_per 0.8962755937798556
speed 7 :  NMSE: 0.2888786296049754 SE: 6.486378987630208 SE0: 7.3309173583984375 SE_per 0.8847977231934404
speed 8 :  NMSE: 0.34620509048302966 SE: 6.289018948872884 SE0: 7.3309173583984375 SE_per 0.8578761212835205
speed 9 :  NMSE: 0.37841691573460895 SE: 6.208579699198405 SE0: 7.3309173583984375 SE_per 0.8469035177549422
---------------------------------------------------------------
loading  3 th model...... cnn
speed 0 :  NMSE: 0.18870078523953757 SE: 6.831655343373616 SE0: 7.3309173583984375 SE_per 0.9318963793183594
speed 1 :  NMSE: 0.12587887048721313 SE: 6.839736620585124 SE0: 7.3309173583984375 SE_per 0.9329987348376519
speed 2 :  NMSE: 0.17367152372996011 SE: 6.870077451070149 SE0: 7.3309173583984375 SE_per 0.9371374843285689
speed 3 :  NMSE: 0.17514249185721079 SE: 6.202699661254883 SE0: 7.3309173583984375 SE_per 0.8461014301503417
speed 4 :  NMSE: 0.16007604946692786 SE: 6.556795597076416 SE0: 7.3309173583984375 SE_per 0.8944031526374836
speed 5 :  NMSE: 0.21618146200974783 SE: 6.765868504842122 SE0: 7.3309173583984375 SE_per 0.9229224903334936
speed 6 :  NMSE: 0.2293227513631185 SE: 6.623087247212728 SE0: 7.3309173583984375 SE_per 0.903445902254674
speed 7 :  NMSE: 0.2271191676457723 SE: 6.550267855326335 SE0: 7.3309173583984375 SE_per 0.8935127126787515
speed 8 :  NMSE: 0.3076023856798808 SE: 6.378166516621907 SE0: 7.3309173583984375 SE_per 0.8700366140828145
speed 9 :  NMSE: 0.3490365346272786 SE: 6.242977460225423 SE0: 7.3309173583984375 SE_per 0.8515956673653332
---------------------------------------------------------------
loading  4 th model...... gru
speed 0 :  NMSE: 0.1734262928366661 SE: 6.841193040211995 SE0: 7.3309173583984375 SE_per 0.9331974029654823
speed 1 :  NMSE: 0.11433185388644536 SE: 6.802944501241048 SE0: 7.3309173583984375 SE_per 0.9279799742180241
speed 2 :  NMSE: 0.19089015821615854 SE: 6.74403444925944 SE0: 7.3309173583984375 SE_per 0.9199441378961047
speed 3 :  NMSE: 0.17878216753403345 SE: 6.180287679036458 SE0: 7.3309173583984375 SE_per 0.8430442435633521
speed 4 :  NMSE: 0.17904905726512274 SE: 6.420400619506836 SE0: 7.3309173583984375 SE_per 0.8757977079296227
speed 5 :  NMSE: 0.19538931051890054 SE: 6.637425899505615 SE0: 7.3309173583984375 SE_per 0.905401817400336
speed 6 :  NMSE: 0.2898352195819219 SE: 6.541781107584636 SE0: 7.3309173583984375 SE_per 0.8923550475016947
speed 7 :  NMSE: 0.2840566982825597 SE: 6.485948244730632 SE0: 7.3309173583984375 SE_per 0.884738966167748
speed 8 :  NMSE: 0.42442865173021954 SE: 6.155640284220378 SE0: 7.3309173583984375 SE_per 0.839682127526422
speed 9 :  NMSE: 0.4362633327643077 SE: 6.000218868255615 SE0: 7.3309173583984375 SE_per 0.8184813134445789
---------------------------------------------------------------
loading  5 th model...... lstm
speed 0 :  NMSE: 0.16692615300416946 SE: 6.874962488810222 SE0: 7.3309173583984375 SE_per 0.9378038453719758
speed 1 :  NMSE: 0.13546600689490637 SE: 6.715153217315674 SE0: 7.3309173583984375 SE_per 0.916004490164204
