0.3233353594938914,0.38068396349747974,0.3648926019668579,0.26115215321381885,0.37491654107968014,1.2067643105983734,0.40026481946309406,0.3055804173151652,0.5139805376529694,0.6720301906267802
4.776250859101613,2.7022270361582437,3.750831445058187,2.010196626186371,1.2281019290288289,1.4625197847684224,1.2089192271232605,1.6723394393920898,1.343302736679713,2.603562513987223
9.192660848299662,2.8682494362195334,4.697649518648784,0.7893143792947134,4.431785047054291,2.1748375495274863,2.8431820074717202,5.025697747866313,1.6953552563985188,2.0534698168436685
1.7183210055033367,4.012685378392537,3.1944779555002847,1.4948484202226002,1.5493970314661663,3.487741311391195,2.302119572957357,1.410725712776184,1.8337747653325398,1.801403800646464
2.4745150407155356,0.6339009900887808,3.5405266284942627,1.0853330095609028,1.206317126750946,0.9216964244842529,3.062457005182902,2.203761021296183,1.5396132270495098,1.5486131111780803
8.515894571940104,3.2536200682322183,6.703407605489095,1.382050593694051,10.912577311197916,3.5539735158284507,5.923377911249797,2.9440696636835733,2.2098528146743774,3.3388779560724893
1098.1832394069875,2.423335836883634,1.8027646056329831,8.190424989112653,1.7896775471093134,16.89550122179091,18.918969732979313,2.1275012081954627,1.6835276777017862,7.065954558886587
56.058622201283775,46.26112333933512,19.632411162058514,34.12701733907064,11.397853374481201,18.61733881632487,12.907889048258463,25.583616256713867,46.21245129903158,129.90473175048828

llm4cp_head，light在ms下对比baseline，效果好太多了

(llm4cp_env) wdz@aoyou2025:~/LLM4CP/LLM4CP$ /home/wdz/.conda/envs/llm4cp_env/bin/python /home/wdz/LLM4CP/LLM4CP/test_tdd_full.py --use-jammer --jammer-cfg configs/jammer_moderate_soft.json --jam-gate=0.55
Total model nums: 8
---------------------------------------------------------------
loading  1 th model...... gpt
speed 0 :  NMSE: 0.3233353594938914 SE: 6.529721260070801 SE0: 7.3309173583984375 SE_per 0.8907099808716611
speed 1 :  NMSE: 0.38068396349747974 SE: 6.5484418869018555 SE0: 7.3309173583984375 SE_per 0.8932636349255577
speed 2 :  NMSE: 0.3648926019668579 SE: 6.574943383534749 SE0: 7.3309173583984375 SE_per 0.8968786663516769
speed 3 :  NMSE: 0.26115215321381885 SE: 5.884954293568929 SE0: 7.3309173583984375 SE_per 0.8027582369111028
speed 4 :  NMSE: 0.37491654107968014 SE: 6.035531838734944 SE0: 7.3309173583984375 SE_per 0.8232983054733969
speed 5 :  NMSE: 1.2067643105983734 SE: 6.318795680999756 SE0: 7.3309173583984375 SE_per 0.8619379229204956
speed 6 :  NMSE: 0.40026481946309406 SE: 6.15985647837321 SE0: 7.3309173583984375 SE_per 0.8402572525683109
speed 7 :  NMSE: 0.3055804173151652 SE: 6.357588450113933 SE0: 7.3309173583984375 SE_per 0.8672295893269836
speed 8 :  NMSE: 0.5139805376529694 SE: 5.832821369171143 SE0: 7.3309173583984375 SE_per 0.7956468589144512
speed 9 :  NMSE: 0.6720301906267802 SE: 5.976518154144287 SE0: 7.3309173583984375 SE_per 0.8152483327748163
---------------------------------------------------------------
loading  2 th model...... transformer
speed 0 :  NMSE: 4.776250859101613 SE: 5.166873931884766 SE0: 7.3309173583984375 SE_per 0.7048059170883296
speed 1 :  NMSE: 2.7022270361582437 SE: 5.169366677602132 SE0: 7.3309173583984375 SE_per 0.7051459489827706
speed 2 :  NMSE: 3.750831445058187 SE: 5.2577805519104 SE0: 7.3309173583984375 SE_per 0.7172063597043538
speed 3 :  NMSE: 2.010196626186371 SE: 5.043420791625977 SE0: 7.3309173583984375 SE_per 0.6879658499830363
speed 4 :  NMSE: 1.2281019290288289 SE: 5.355380376180013 SE0: 7.3309173583984375 SE_per 0.7305198127823372
speed 5 :  NMSE: 1.4625197847684224 SE: 5.581572373708089 SE0: 7.3309173583984375 SE_per 0.7613743411407761
speed 6 :  NMSE: 1.2089192271232605 SE: 5.6706258455912275 SE0: 7.3309173583984375 SE_per 0.7735219984569668
speed 7 :  NMSE: 1.6723394393920898 SE: 5.666043281555176 SE0: 7.3309173583984375 SE_per 0.7728968974209005
speed 8 :  NMSE: 1.343302736679713 SE: 5.437545299530029 SE0: 7.3309173583984375 SE_per 0.7417278130001935
speed 9 :  NMSE: 2.603562513987223 SE: 5.129324436187744 SE0: 7.3309173583984375 SE_per 0.6996838438386559
---------------------------------------------------------------
loading  3 th model...... cnn
