epoch=1, lr=1.000000e-03, train_total=1.0418961, train_mask=0.4112163, val_total=1.1575210, val_nmse=0.7200829, val_mask=0.4374381, val_clean=0.6872531, gate=0.000000, lambda_mask=1.000000
epoch=2, lr=1.000000e-03, train_total=1.0180410, train_mask=0.4100962, val_total=1.1629772, val_nmse=0.7283242, val_mask=0.4346531, val_clean=0.6936124, gate=0.003750, lambda_mask=1.000000
epoch=3, lr=1.000000e-03, train_total=1.0037238, train_mask=0.4098544, val_total=1.1629678, val_nmse=0.7285069, val_mask=0.4344610, val_clean=0.6871578, gate=0.007500, lambda_mask=1.000000
epoch=4, lr=1.000000e-03, train_total=0.9945477, train_mask=0.4091933, val_total=1.1564539, val_nmse=0.7225641, val_mask=0.4338898, val_clean=0.7016218, gate=0.011250, lambda_mask=1.000000
epoch=5, lr=1.000000e-03, train_total=0.9870312, train_mask=0.4083296, val_total=1.1722365, val_nmse=0.7369534, val_mask=0.4352831, val_clean=0.6926226, gate=0.015000, lambda_mask=1.000000
epoch=6, lr=1.000000e-03, train_total=0.9803700, train_mask=0.4085263, val_total=1.1879100, val_nmse=0.7530007, val_mask=0.4349093, val_clean=0.6991908, gate=0.018750, lambda_mask=1.000000
epoch=7, lr=1.000000e-03, train_total=0.9732199, train_mask=0.4075509, val_total=1.1600951, val_nmse=0.7256047, val_mask=0.4344905, val_clean=0.6838698, gate=0.022500, lambda_mask=1.000000
epoch=8, lr=1.000000e-03, train_total=0.9687316, train_mask=0.4076476, val_total=1.1899088, val_nmse=0.7555293, val_mask=0.4343795, val_clean=0.7248932, gate=0.026250, lambda_mask=1.000000
epoch=9, lr=1.000000e-03, train_total=0.9623763, train_mask=0.4065637, val_total=1.1573716, val_nmse=0.7227618, val_mask=0.4346098, val_clean=0.6977619, gate=0.030000, lambda_mask=1.000000
epoch=10, lr=1.000000e-03, train_total=0.9614472, train_mask=0.4066034, val_total=1.1994449, val_nmse=0.7636177, val_mask=0.4358272, val_clean=0.6975057, gate=0.033750, lambda_mask=1.000000
epoch=11, lr=1.000000e-03, train_total=0.9571098, train_mask=0.4066831, val_total=1.1535091, val_nmse=0.7192275, val_mask=0.4342816, val_clean=0.6798377, gate=0.037500, lambda_mask=1.000000
