epoch=33, lr=1.000000e-03, train_total=0.3978223, train_mask=0.4067789, val_total=0.4447560, val_nmse=0.3183703, val_mask=0.4212857, val_clean=nan, gate=0.096000, lambda_mask=0.300000
epoch=34, lr=1.000000e-03, train_total=0.3963688, train_mask=0.4060099, val_total=0.4288752, val_nmse=0.3027218, val_mask=0.4205114, val_clean=nan, gate=0.099000, lambda_mask=0.300000
epoch=35, lr=1.000000e-03, train_total=0.3965113, train_mask=0.4066740, val_total=0.4360941, val_nmse=0.3100020, val_mask=0.4203070, val_clean=nan, gate=0.102000, lambda_mask=0.300000
epoch=36, lr=1.000000e-03, train_total=0.3955928, train_mask=0.4060679, val_total=0.4302154, val_nmse=0.3045567, val_mask=0.4188623, val_clean=nan, gate=0.105000, lambda_mask=0.300000
epoch=37, lr=1.000000e-03, train_total=0.3945679, train_mask=0.4063965, val_total=0.4288294, val_nmse=0.3031039, val_mask=0.4190852, val_clean=nan, gate=0.108000, lambda_mask=0.300000
epoch=38, lr=1.000000e-03, train_total=0.3936065, train_mask=0.4066703, val_total=0.4385503, val_nmse=0.3129381, val_mask=0.4187072, val_clean=nan, gate=0.111000, lambda_mask=0.300000
epoch=39, lr=1.000000e-03, train_total=0.3953186, train_mask=0.4063759, val_total=0.4325637, val_nmse=0.3069999, val_mask=0.4185460, val_clean=nan, gate=0.114000, lambda_mask=0.300000
epoch=40, lr=1.000000e-03, train_total=0.3925379, train_mask=0.4064047, val_total=0.4286684, val_nmse=0.3034060, val_mask=0.4175411, val_clean=nan, gate=0.117000, lambda_mask=0.300000
epoch=41, lr=1.000000e-03, train_total=0.3918603, train_mask=0.4067047, val_total=0.4298114, val_nmse=0.3044621, val_mask=0.4178311, val_clean=nan, gate=0.120000, lambda_mask=0.300000
epoch=42, lr=1.000000e-03, train_total=0.3936624, train_mask=0.4063623, val_total=0.4327023, val_nmse=0.3064162, val_mask=0.4209538, val_clean=nan, gate=0.123000, lambda_mask=0.300000
epoch=43, lr=1.000000e-03, train_total=0.3904069, train_mask=0.4069387, val_total=0.4282043, val_nmse=0.3023479, val_mask=0.4195214, val_clean=nan, gate=0.126000, lambda_mask=0.300000
epoch=44, lr=1.000000e-03, train_total=0.3910708, train_mask=0.4065843, val_total=0.4334122, val_nmse=0.3078652, val_mask=0.4184899, val_clean=nan, gate=0.129000, lambda_mask=0.300000
epoch=45, lr=1.000000e-03, train_total=0.3892677, train_mask=0.4064731, val_total=0.4299956, val_nmse=0.3042789, val_mask=0.4190557, val_clean=nan, gate=0.132000, lambda_mask=0.300000
epoch=46, lr=1.000000e-03, train_total=0.3941678, train_mask=0.4066846, val_total=0.4310214, val_nmse=0.3053466, val_mask=0.4189161, val_clean=nan, gate=0.135000, lambda_mask=0.300000
epoch=47, lr=1.000000e-03, train_total=0.3889003, train_mask=0.4067829, val_total=0.4270607, val_nmse=0.3011466, val_mask=0.4197139, val_clean=nan, gate=0.138000, lambda_mask=0.300000
epoch=48, lr=1.000000e-03, train_total=0.3893849, train_mask=0.4063572, val_total=0.4252107, val_nmse=0.3001804, val_mask=0.4167674, val_clean=nan, gate=0.141000, lambda_mask=0.300000
epoch=49, lr=1.000000e-03, train_total=0.3877831, train_mask=0.4061813, val_total=0.4373058, val_nmse=0.3117440, val_mask=0.4185392, val_clean=nan, gate=0.144000, lambda_mask=0.300000
epoch=50, lr=1.000000e-03, train_total=0.3877315, train_mask=0.4064497, val_total=0.4316858, val_nmse=0.3062762, val_mask=0.4180319, val_clean=nan, gate=0.147000, lambda_mask=0.300000
