epoch=1, lr=1.000000e-03, train_total=0.6247787, train_mask=0.3456172, val_total=0.3657089, val_nmse=0.2921276, val_mask=0.2452710, val_clean=nan, gate=0.000000, lambda_mask=0.300000
epoch=2, lr=1.000000e-03, train_total=0.3569123, train_mask=0.2640178, val_total=0.3260922, val_nmse=0.2551392, val_mask=0.2365102, val_clean=nan, gate=0.002750, lambda_mask=0.300000
epoch=3, lr=1.000000e-03, train_total=0.3293389, train_mask=0.2533879, val_total=0.3093910, val_nmse=0.2417605, val_mask=0.2254353, val_clean=nan, gate=0.005500, lambda_mask=0.300000
epoch=4, lr=1.000000e-03, train_total=0.3128672, train_mask=0.2427677, val_total=0.2969609, val_nmse=0.2313735, val_mask=0.2186245, val_clean=nan, gate=0.008250, lambda_mask=0.300000
epoch=5, lr=1.000000e-03, train_total=0.3033053, train_mask=0.2356081, val_total=0.2970755, val_nmse=0.2331890, val_mask=0.2129551, val_clean=nan, gate=0.011000, lambda_mask=0.300000
epoch=6, lr=1.000000e-03, train_total=0.2968699, train_mask=0.2315647, val_total=0.2900409, val_nmse=0.2266322, val_mask=0.2113623, val_clean=nan, gate=0.013750, lambda_mask=0.300000
epoch=7, lr=1.000000e-03, train_total=0.2915955, train_mask=0.2291845, val_total=0.2853402, val_nmse=0.2228796, val_mask=0.2082018, val_clean=nan, gate=0.016500, lambda_mask=0.300000
epoch=8, lr=1.000000e-03, train_total=0.2886427, train_mask=0.2278045, val_total=0.2792905, val_nmse=0.2172568, val_mask=0.2067791, val_clean=nan, gate=0.019250, lambda_mask=0.300000
epoch=9, lr=1.000000e-03, train_total=0.2853479, train_mask=0.2269009, val_total=0.2813823, val_nmse=0.2192968, val_mask=0.2069517, val_clean=nan, gate=0.022000, lambda_mask=0.300000
epoch=10, lr=1.000000e-03, train_total=0.2830664, train_mask=0.2261819, val_total=0.2777044, val_nmse=0.2156357, val_mask=0.2068959, val_clean=nan, gate=0.024750, lambda_mask=0.300000
epoch=11, lr=1.000000e-03, train_total=0.2822433, train_mask=0.2254564, val_total=0.2760167, val_nmse=0.2144054, val_mask=0.2053712, val_clean=nan, gate=0.027500, lambda_mask=0.300000
epoch=12, lr=1.000000e-03, train_total=0.2788353, train_mask=0.2250147, val_total=0.2729189, val_nmse=0.2115669, val_mask=0.2045066, val_clean=nan, gate=0.030250, lambda_mask=0.300000
epoch=13, lr=1.000000e-03, train_total=0.2775250, train_mask=0.2248110, val_total=0.2755266, val_nmse=0.2142970, val_mask=0.2040984, val_clean=nan, gate=0.033000, lambda_mask=0.300000
epoch=14, lr=1.000000e-03, train_total=0.2768593, train_mask=0.2243116, val_total=0.2713771, val_nmse=0.2103445, val_mask=0.2034420, val_clean=nan, gate=0.035750, lambda_mask=0.300000
epoch=15, lr=1.000000e-03, train_total=0.2744700, train_mask=0.2240997, val_total=0.2752975, val_nmse=0.2141714, val_mask=0.2037538, val_clean=nan, gate=0.038500, lambda_mask=0.300000
epoch=16, lr=1.000000e-03, train_total=0.2729346, train_mask=0.2240411, val_total=0.2737198, val_nmse=0.2126423, val_mask=0.2035915, val_clean=nan, gate=0.041250, lambda_mask=0.300000
epoch=17, lr=1.000000e-03, train_total=0.2721002, train_mask=0.2238738, val_total=0.2713597, val_nmse=0.2102098, val_mask=0.2038330, val_clean=nan, gate=0.044000, lambda_mask=0.300000
epoch=18, lr=1.000000e-03, train_total=0.2722611, train_mask=0.2236361, val_total=0.2784156, val_nmse=0.2169631, val_mask=0.2048417, val_clean=nan, gate=0.046750, lambda_mask=0.300000
epoch=19, lr=1.000000e-03, train_total=0.2718014, train_mask=0.2239412, val_total=0.2655631, val_nmse=0.2048964, val_mask=0.2022221, val_clean=nan, gate=0.049500, lambda_mask=0.300000
epoch=20, lr=1.000000e-03, train_total=0.2700164, train_mask=0.2237269, val_total=0.2662104, val_nmse=0.2053811, val_mask=0.2027644, val_clean=nan, gate=0.052250, lambda_mask=0.300000
epoch=21, lr=1.000000e-03, train_total=0.2696481, train_mask=0.2237912, val_total=0.2639912, val_nmse=0.2032235, val_mask=0.2025588, val_clean=nan, gate=0.055000, lambda_mask=0.300000
epoch=22, lr=1.000000e-03, train_total=0.2680917, train_mask=0.2233847, val_total=0.2627403, val_nmse=0.2018993, val_mask=0.2028032, val_clean=nan, gate=0.057750, lambda_mask=0.300000
epoch=23, lr=1.000000e-03, train_total=0.2669595, train_mask=0.2235380, val_total=0.2659682, val_nmse=0.2049447, val_mask=0.2034115, val_clean=nan, gate=0.060500, lambda_mask=0.300000
epoch=24, lr=1.000000e-03, train_total=0.2691244, train_mask=0.2237458, val_total=0.2635945, val_nmse=0.2027389, val_mask=0.2028519, val_clean=nan, gate=0.063250, lambda_mask=0.300000
epoch=25, lr=1.000000e-03, train_total=0.2672814, train_mask=0.2235309, val_total=0.2648658, val_nmse=0.2036653, val_mask=0.2040015, val_clean=nan, gate=0.066000, lambda_mask=0.300000
epoch=26, lr=1.000000e-03, train_total=0.2653192, train_mask=0.2233322, val_total=0.2667891, val_nmse=0.2054729, val_mask=0.2043872, val_clean=nan, gate=0.068750, lambda_mask=0.300000
epoch=27, lr=1.000000e-03, train_total=0.2651987, train_mask=0.2234022, val_total=0.2625544, val_nmse=0.2017488, val_mask=0.2026854, val_clean=nan, gate=0.071500, lambda_mask=0.300000
epoch=28, lr=1.000000e-03, train_total=0.2648293, train_mask=0.2235728, val_total=0.2664064, val_nmse=0.2057786, val_mask=0.2020927, val_clean=nan, gate=0.074250, lambda_mask=0.300000
epoch=29, lr=1.000000e-03, train_total=0.2636214, train_mask=0.2235062, val_total=0.2621137, val_nmse=0.2010253, val_mask=0.2036282, val_clean=nan, gate=0.077000, lambda_mask=0.300000
epoch=30, lr=1.000000e-03, train_total=0.2644342, train_mask=0.2233857, val_total=0.2618960, val_nmse=0.2013655, val_mask=0.2017683, val_clean=nan, gate=0.079750, lambda_mask=0.300000
epoch=31, lr=1.000000e-03, train_total=0.2643894, train_mask=0.2234392, val_total=0.2659634, val_nmse=0.2052705, val_mask=0.2023094, val_clean=nan, gate=0.082500, lambda_mask=0.300000
epoch=32, lr=1.000000e-03, train_total=0.2627481, train_mask=0.2232362, val_total=0.2639857, val_nmse=0.2031171, val_mask=0.2028955, val_clean=nan, gate=0.085250, lambda_mask=0.300000
epoch=33, lr=1.000000e-03, train_total=0.2628049, train_mask=0.2234001, val_total=0.2609858, val_nmse=0.1998086, val_mask=0.2039241, val_clean=nan, gate=0.088000, lambda_mask=0.300000
