epoch=32, lr=1.000000e-03, train_total=0.9894511, train_mask=0.4122322, val_total=1.1872750, val_nmse=0.7400871, val_mask=0.4320656, val_clean=0.6698716, gate=0.206667, lambda_mask=1.035000
epoch=33, lr=1.000000e-03, train_total=0.9832607, train_mask=0.4120079, val_total=1.1814624, val_nmse=0.7341377, val_mask=0.4315030, val_clean=0.6345715, gate=0.213333, lambda_mask=1.036667
epoch=34, lr=1.000000e-03, train_total=0.9836248, train_mask=0.4116439, val_total=1.1870839, val_nmse=0.7365947, val_mask=0.4338580, val_clean=0.6317199, gate=0.220000, lambda_mask=1.038333
epoch=35, lr=1.000000e-03, train_total=0.9847632, train_mask=0.4116181, val_total=1.1698666, val_nmse=0.7207217, val_mask=0.4318702, val_clean=0.6290900, gate=0.226667, lambda_mask=1.040000
epoch=36, lr=1.000000e-03, train_total=0.9810475, train_mask=0.4109538, val_total=1.1779163, val_nmse=0.7267005, val_mask=0.4331672, val_clean=0.6278778, gate=0.233333, lambda_mask=1.041667
epoch=37, lr=1.000000e-03, train_total=0.9883018, train_mask=0.4113351, val_total=1.2091405, val_nmse=0.7584797, val_mask=0.4319433, val_clean=0.6561687, gate=0.240000, lambda_mask=1.043333
epoch=38, lr=1.000000e-03, train_total=0.9786415, train_mask=0.4111918, val_total=1.1718758, val_nmse=0.7196787, val_mask=0.4327245, val_clean=0.6366105, gate=0.246667, lambda_mask=1.045000
epoch=39, lr=1.000000e-03, train_total=0.9792436, train_mask=0.4107476, val_total=1.1727932, val_nmse=0.7221531, val_mask=0.4305478, val_clean=0.6247053, gate=0.253333, lambda_mask=1.046667
epoch=40, lr=1.000000e-03, train_total=0.9747068, train_mask=0.4111463, val_total=1.1907846, val_nmse=0.7363440, val_mask=0.4334886, val_clean=0.6498608, gate=0.260000, lambda_mask=1.048333
epoch=41, lr=1.000000e-03, train_total=0.9747692, train_mask=0.4101964, val_total=1.2120899, val_nmse=0.7580175, val_mask=0.4324499, val_clean=0.6380892, gate=0.266667, lambda_mask=1.050000
epoch=42, lr=1.000000e-03, train_total=0.9814755, train_mask=0.4101939, val_total=1.2007669, val_nmse=0.7490941, val_mask=0.4294829, val_clean=0.6435047, gate=0.273333, lambda_mask=1.051667
epoch=43, lr=1.000000e-03, train_total=0.9752737, train_mask=0.4104152, val_total=1.2018464, val_nmse=0.7474771, val_mask=0.4313633, val_clean=0.6568090, gate=0.280000, lambda_mask=1.053333
epoch=44, lr=1.000000e-03, train_total=0.9711806, train_mask=0.4098249, val_total=1.1873496, val_nmse=0.7325492, val_mask=0.4310904, val_clean=0.6352098, gate=0.286667, lambda_mask=1.055000
epoch=45, lr=1.000000e-03, train_total=0.9723725, train_mask=0.4097708, val_total=1.2018901, val_nmse=0.7435186, val_mask=0.4337901, val_clean=0.6372920, gate=0.293333, lambda_mask=1.056667
epoch=46, lr=1.000000e-03, train_total=0.9695249, train_mask=0.4097298, val_total=1.2022487, val_nmse=0.7473545, val_mask=0.4298213, val_clean=0.6483242, gate=0.300000, lambda_mask=1.058333
epoch=47, lr=1.000000e-03, train_total=0.9733472, train_mask=0.4095918, val_total=1.2365045, val_nmse=0.7800242, val_mask=0.4306419, val_clean=0.6627614, gate=0.306667, lambda_mask=1.060000
epoch=48, lr=1.000000e-03, train_total=0.9726067, train_mask=0.4093600, val_total=1.1933076, val_nmse=0.7340201, val_mask=0.4326099, val_clean=0.6344257, gate=0.313333, lambda_mask=1.061667
epoch=49, lr=1.000000e-03, train_total=0.9683639, train_mask=0.4100818, val_total=1.2246874, val_nmse=0.7670395, val_mask=0.4303899, val_clean=0.6591041, gate=0.320000, lambda_mask=1.063333
epoch=50, lr=1.000000e-03, train_total=0.9681261, train_mask=0.4088822, val_total=1.1889683, val_nmse=0.7307728, val_mask=0.4302305, val_clean=0.6340000, gate=0.326667, lambda_mask=1.065000
epoch=51, lr=1.000000e-03, train_total=0.9694121, train_mask=0.4094020, val_total=1.1864068, val_nmse=0.7287011, val_mask=0.4290990, val_clean=0.6410037, gate=0.333333, lambda_mask=1.066667
epoch=52, lr=1.000000e-03, train_total=0.9701865, train_mask=0.4090587, val_total=1.1775643, val_nmse=0.7190000, val_mask=0.4292333, val_clean=0.6374311, gate=0.340000, lambda_mask=1.068333
epoch=53, lr=1.000000e-03, train_total=0.9655816, train_mask=0.4088942, val_total=1.1920637, val_nmse=0.7315414, val_mask=0.4303946, val_clean=0.6271788, gate=0.346667, lambda_mask=1.070000
epoch=54, lr=1.000000e-03, train_total=0.9668675, train_mask=0.4084732, val_total=1.2000972, val_nmse=0.7389541, val_mask=0.4303046, val_clean=0.6367901, gate=0.353333, lambda_mask=1.071667
epoch=55, lr=1.000000e-03, train_total=0.9672031, train_mask=0.4089322, val_total=1.2011253, val_nmse=0.7404460, val_mask=0.4292043, val_clean=0.6325792, gate=0.360000, lambda_mask=1.073333
epoch=56, lr=1.000000e-03, train_total=0.9688090, train_mask=0.4090295, val_total=1.1841784, val_nmse=0.7220799, val_mask=0.4298590, val_clean=0.6187743, gate=0.366667, lambda_mask=1.075000
epoch=57, lr=1.000000e-03, train_total=0.9661070, train_mask=0.4080519, val_total=1.2166966, val_nmse=0.7555166, val_mask=0.4283405, val_clean=0.6441178, gate=0.373333, lambda_mask=1.076667
epoch=58, lr=1.000000e-03, train_total=0.9696275, train_mask=0.4082640, val_total=1.2391256, val_nmse=0.7756293, val_mask=0.4298266, val_clean=0.6463564, gate=0.380000, lambda_mask=1.078333
epoch=59, lr=1.000000e-03, train_total=0.9674682, train_mask=0.4079617, val_total=1.2048771, val_nmse=0.7405918, val_mask=0.4298937, val_clean=0.6281419, gate=0.386667, lambda_mask=1.080000
