epoch=26, lr=1.000000e-03, train_total=0.3660179, train_mask=0.2255386, val_total=0.3643762, val_nmse=0.1894726, val_mask=0.2186295, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.006205, val_avg_gamma=0.004629
epoch=27, lr=1.000000e-03, train_total=0.3670393, train_mask=0.2252821, val_total=0.3627970, val_nmse=0.1899304, val_mask=0.2160832, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.006438, val_avg_gamma=0.005650
epoch=28, lr=1.000000e-03, train_total=0.3667978, train_mask=0.2251251, val_total=0.3678381, val_nmse=0.1935449, val_mask=0.2178665, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.005963, val_avg_gamma=0.006068
epoch=29, lr=1.000000e-03, train_total=0.3684134, train_mask=0.2256137, val_total=0.3652721, val_nmse=0.1912945, val_mask=0.2174720, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.004786, val_avg_gamma=0.004967
epoch=30, lr=1.000000e-03, train_total=0.3658855, train_mask=0.2240408, val_total=0.3584739, val_nmse=0.1864980, val_mask=0.2149698, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.004911, val_avg_gamma=0.004184
epoch=31, lr=1.000000e-03, train_total=0.3669774, train_mask=0.2245730, val_total=0.3630959, val_nmse=0.1893540, val_mask=0.2171774, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.005273, val_avg_gamma=0.004726
epoch=32, lr=1.000000e-03, train_total=0.3648509, train_mask=0.2244843, val_total=0.3595499, val_nmse=0.1881336, val_mask=0.2142703, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.005046, val_avg_gamma=0.005301
epoch=33, lr=1.000000e-03, train_total=0.3655866, train_mask=0.2249733, val_total=0.3689968, val_nmse=0.1970370, val_mask=0.2149498, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.005619, val_avg_gamma=0.004148
epoch=34, lr=1.000000e-03, train_total=0.3659078, train_mask=0.2245423, val_total=0.3674950, val_nmse=0.1958600, val_mask=0.2145437, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.004973, val_avg_gamma=0.005109
epoch=35, lr=1.000000e-03, train_total=0.3674358, train_mask=0.2250137, val_total=0.3635802, val_nmse=0.1892604, val_mask=0.2178997, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.005014, val_avg_gamma=0.004222
