epoch=1, lr=1.000000e-03, train_total=0.8473924, train_mask=0.4669777, val_total=0.9601512, val_nmse=0.7333715, val_mask=0.4535593, val_clean=0.7016130, gate=0.000000, lambda_mask=0.500000
epoch=2, lr=1.000000e-03, train_total=0.8243465, train_mask=0.4665000, val_total=0.9450603, val_nmse=0.7178110, val_mask=0.4544986, val_clean=0.6899538, gate=0.003438, lambda_mask=0.500000
epoch=3, lr=1.000000e-03, train_total=0.8125755, train_mask=0.4670229, val_total=0.9589826, val_nmse=0.7312113, val_mask=0.4555426, val_clean=0.7129780, gate=0.006875, lambda_mask=0.500000
epoch=4, lr=1.000000e-03, train_total=0.8041831, train_mask=0.4671796, val_total=0.9545910, val_nmse=0.7264620, val_mask=0.4562580, val_clean=0.7013007, gate=0.010313, lambda_mask=0.500000
epoch=5, lr=1.000000e-03, train_total=0.7967846, train_mask=0.4675546, val_total=0.9904294, val_nmse=0.7615283, val_mask=0.4578023, val_clean=0.7111929, gate=0.013750, lambda_mask=0.500000
epoch=6, lr=1.000000e-03, train_total=0.7918712, train_mask=0.4672719, val_total=0.9993944, val_nmse=0.7704132, val_mask=0.4579623, val_clean=0.7164619, gate=0.017188, lambda_mask=0.500000
epoch=7, lr=1.000000e-03, train_total=0.7849781, train_mask=0.4667998, val_total=0.9793206, val_nmse=0.7502860, val_mask=0.4580691, val_clean=0.7182421, gate=0.020625, lambda_mask=0.500000
epoch=8, lr=1.000000e-03, train_total=0.7789184, train_mask=0.4669850, val_total=0.9675502, val_nmse=0.7383739, val_mask=0.4583527, val_clean=0.6980537, gate=0.024063, lambda_mask=0.500000
epoch=9, lr=1.000000e-03, train_total=0.7739680, train_mask=0.4667687, val_total=1.0043516, val_nmse=0.7756305, val_mask=0.4574422, val_clean=0.7238470, gate=0.027500, lambda_mask=0.500000
epoch=10, lr=1.000000e-03, train_total=0.7715672, train_mask=0.4670402, val_total=1.0016368, val_nmse=0.7727638, val_mask=0.4577460, val_clean=0.7079489, gate=0.030938, lambda_mask=0.500000
epoch=11, lr=1.000000e-03, train_total=0.7692442, train_mask=0.4667543, val_total=0.9636900, val_nmse=0.7343960, val_mask=0.4585881, val_clean=0.6964667, gate=0.034375, lambda_mask=0.500000
epoch=12, lr=1.000000e-03, train_total=0.7634078, train_mask=0.4659460, val_total=0.9775261, val_nmse=0.7482125, val_mask=0.4586271, val_clean=0.7134620, gate=0.037813, lambda_mask=0.500000
epoch=13, lr=1.000000e-03, train_total=0.7619831, train_mask=0.4662442, val_total=0.9798898, val_nmse=0.7512664, val_mask=0.4572469, val_clean=0.6904905, gate=0.041250, lambda_mask=0.500000
epoch=14, lr=1.000000e-03, train_total=0.7587555, train_mask=0.4661268, val_total=1.0007868, val_nmse=0.7709994, val_mask=0.4595748, val_clean=0.7095476, gate=0.044688, lambda_mask=0.500000
epoch=15, lr=1.000000e-03, train_total=0.7557357, train_mask=0.4655396, val_total=0.9766111, val_nmse=0.7469588, val_mask=0.4593045, val_clean=0.7086432, gate=0.048125, lambda_mask=0.500000
epoch=16, lr=1.000000e-03, train_total=0.7535698, train_mask=0.4652210, val_total=1.0216353, val_nmse=0.7917125, val_mask=0.4598455, val_clean=0.7198079, gate=0.051563, lambda_mask=0.500000
epoch=17, lr=1.000000e-03, train_total=0.7541402, train_mask=0.4656139, val_total=0.9835180, val_nmse=0.7543011, val_mask=0.4584337, val_clean=0.7183514, gate=0.055000, lambda_mask=0.500000
epoch=18, lr=1.000000e-03, train_total=0.7513161, train_mask=0.4650163, val_total=0.9822739, val_nmse=0.7522143, val_mask=0.4601192, val_clean=0.7128108, gate=0.058438, lambda_mask=0.500000
epoch=19, lr=1.000000e-03, train_total=0.7487570, train_mask=0.4653584, val_total=0.9670476, val_nmse=0.7369062, val_mask=0.4602829, val_clean=0.7011061, gate=0.061875, lambda_mask=0.500000
epoch=20, lr=1.000000e-03, train_total=0.7472100, train_mask=0.4652148, val_total=0.9766910, val_nmse=0.7463812, val_mask=0.4606196, val_clean=0.7029766, gate=0.065312, lambda_mask=0.500000
epoch=21, lr=1.000000e-03, train_total=0.7465195, train_mask=0.4654678, val_total=0.9518795, val_nmse=0.7218591, val_mask=0.4600408, val_clean=0.6989688, gate=0.068750, lambda_mask=0.500000
epoch=22, lr=1.000000e-03, train_total=0.7433152, train_mask=0.4650396, val_total=0.9969366, val_nmse=0.7666536, val_mask=0.4605660, val_clean=0.7057172, gate=0.072188, lambda_mask=0.500000
epoch=23, lr=1.000000e-03, train_total=0.7428579, train_mask=0.4654261, val_total=0.9945772, val_nmse=0.7645769, val_mask=0.4600007, val_clean=0.7191167, gate=0.075625, lambda_mask=0.500000
epoch=24, lr=1.000000e-03, train_total=0.7446725, train_mask=0.4651454, val_total=0.9950002, val_nmse=0.7647167, val_mask=0.4605670, val_clean=0.7025694, gate=0.079062, lambda_mask=0.500000
epoch=25, lr=1.000000e-03, train_total=0.7424294, train_mask=0.4648502, val_total=0.9650205, val_nmse=0.7344548, val_mask=0.4611313, val_clean=0.7070937, gate=0.082500, lambda_mask=0.500000
epoch=26, lr=1.000000e-03, train_total=0.7376085, train_mask=0.4648186, val_total=0.9988539, val_nmse=0.7683420, val_mask=0.4610236, val_clean=0.7123194, gate=0.085938, lambda_mask=0.500000
epoch=27, lr=1.000000e-03, train_total=0.7379369, train_mask=0.4647535, val_total=1.0074244, val_nmse=0.7770161, val_mask=0.4608167, val_clean=0.7163290, gate=0.089375, lambda_mask=0.500000
epoch=28, lr=1.000000e-03, train_total=0.7368507, train_mask=0.4646315, val_total=0.9868498, val_nmse=0.7569548, val_mask=0.4597899, val_clean=0.7059036, gate=0.092813, lambda_mask=0.500000
epoch=29, lr=1.000000e-03, train_total=0.7350596, train_mask=0.4644072, val_total=0.9658625, val_nmse=0.7363353, val_mask=0.4590543, val_clean=0.7002827, gate=0.096250, lambda_mask=0.500000
epoch=30, lr=1.000000e-03, train_total=0.7345920, train_mask=0.4647685, val_total=0.9875635, val_nmse=0.7574198, val_mask=0.4602872, val_clean=0.6910294, gate=0.099687, lambda_mask=0.500000
epoch=31, lr=1.000000e-03, train_total=0.7334964, train_mask=0.4643166, val_total=0.9964187, val_nmse=0.7660326, val_mask=0.4607722, val_clean=0.7054192, gate=0.103125, lambda_mask=0.500000
epoch=32, lr=1.000000e-03, train_total=0.7337062, train_mask=0.4645401, val_total=1.0019776, val_nmse=0.7713433, val_mask=0.4612686, val_clean=0.7058077, gate=0.106563, lambda_mask=0.500000
epoch=33, lr=1.000000e-03, train_total=0.7311347, train_mask=0.4646803, val_total=0.9941239, val_nmse=0.7634922, val_mask=0.4612634, val_clean=0.7037624, gate=0.110000, lambda_mask=0.500000
epoch=34, lr=1.000000e-03, train_total=0.7310330, train_mask=0.4642933, val_total=1.0678197, val_nmse=0.8369278, val_mask=0.4617837, val_clean=0.7238639, gate=0.113437, lambda_mask=0.500000
epoch=35, lr=1.000000e-03, train_total=0.7303443, train_mask=0.4648483, val_total=1.0364096, val_nmse=0.8048671, val_mask=0.4630849, val_clean=0.7204558, gate=0.116875, lambda_mask=0.500000
epoch=36, lr=1.000000e-03, train_total=0.7293347, train_mask=0.4638127, val_total=1.0121090, val_nmse=0.7815779, val_mask=0.4610621, val_clean=0.7157803, gate=0.120313, lambda_mask=0.500000
epoch=37, lr=1.000000e-03, train_total=0.7271467, train_mask=0.4646790, val_total=0.9752262, val_nmse=0.7436725, val_mask=0.4631076, val_clean=0.6977877, gate=0.123750, lambda_mask=0.500000
epoch=38, lr=1.000000e-03, train_total=0.7458144, train_mask=0.4641050, val_total=0.9931625, val_nmse=0.7629562, val_mask=0.4604126, val_clean=0.6998348, gate=0.127188, lambda_mask=0.500000
epoch=39, lr=1.000000e-03, train_total=0.7293040, train_mask=0.4642480, val_total=1.0228255, val_nmse=0.7915134, val_mask=0.4626243, val_clean=0.7168875, gate=0.130625, lambda_mask=0.500000
epoch=40, lr=1.000000e-03, train_total=0.7264730, train_mask=0.4643373, val_total=0.9766229, val_nmse=0.7468806, val_mask=0.4594846, val_clean=0.6973690, gate=0.134063, lambda_mask=0.500000
