epoch=34, lr=1.000000e-03, train_total=0.1607815, train_mask=0.0000000, val_total=0.1654989, val_nmse=0.1654989, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=35, lr=1.000000e-03, train_total=0.1602326, train_mask=0.0000000, val_total=0.1639644, val_nmse=0.1639644, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=36, lr=1.000000e-03, train_total=0.1601402, train_mask=0.0000000, val_total=0.1633133, val_nmse=0.1633133, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=37, lr=1.000000e-03, train_total=0.1598429, train_mask=0.0000000, val_total=0.1635777, val_nmse=0.1635777, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=38, lr=1.000000e-03, train_total=0.1601302, train_mask=0.0000000, val_total=0.1635542, val_nmse=0.1635542, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=39, lr=1.000000e-03, train_total=0.1604987, train_mask=0.0000000, val_total=0.1620019, val_nmse=0.1620019, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=40, lr=1.000000e-03, train_total=0.1585501, train_mask=0.0000000, val_total=0.1622296, val_nmse=0.1622296, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=41, lr=1.000000e-03, train_total=0.1585374, train_mask=0.0000000, val_total=0.1621423, val_nmse=0.1621423, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=42, lr=1.000000e-03, train_total=0.1595253, train_mask=0.0000000, val_total=0.1626120, val_nmse=0.1626120, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=43, lr=1.000000e-03, train_total=0.1582166, train_mask=0.0000000, val_total=0.1644344, val_nmse=0.1644344, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=44, lr=1.000000e-03, train_total=0.1579237, train_mask=0.0000000, val_total=0.1615398, val_nmse=0.1615398, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=45, lr=1.000000e-03, train_total=0.1581228, train_mask=0.0000000, val_total=0.1653149, val_nmse=0.1653149, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=46, lr=1.000000e-03, train_total=0.1579913, train_mask=0.0000000, val_total=0.1614500, val_nmse=0.1614500, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=47, lr=1.000000e-03, train_total=0.1575556, train_mask=0.0000000, val_total=0.1611345, val_nmse=0.1611345, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=48, lr=1.000000e-03, train_total=0.1578429, train_mask=0.0000000, val_total=0.1651183, val_nmse=0.1651183, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=49, lr=1.000000e-03, train_total=0.1570506, train_mask=0.0000000, val_total=0.1670361, val_nmse=0.1670361, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=50, lr=1.000000e-03, train_total=0.1569197, train_mask=0.0000000, val_total=0.1655832, val_nmse=0.1655832, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=51, lr=1.000000e-03, train_total=0.1566427, train_mask=0.0000000, val_total=0.1612409, val_nmse=0.1612409, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=52, lr=1.000000e-03, train_total=0.1567225, train_mask=0.0000000, val_total=0.1631987, val_nmse=0.1631987, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=53, lr=1.000000e-03, train_total=0.1563363, train_mask=0.0000000, val_total=0.1619120, val_nmse=0.1619120, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=54, lr=1.000000e-03, train_total=0.1565900, train_mask=0.0000000, val_total=0.1618388, val_nmse=0.1618388, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=55, lr=1.000000e-03, train_total=0.1568227, train_mask=0.0000000, val_total=0.1601202, val_nmse=0.1601202, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=56, lr=1.000000e-03, train_total=0.1560532, train_mask=0.0000000, val_total=0.1606509, val_nmse=0.1606509, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=57, lr=1.000000e-03, train_total=0.1558967, train_mask=0.0000000, val_total=0.1605228, val_nmse=0.1605228, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=58, lr=1.000000e-03, train_total=0.1558240, train_mask=0.0000000, val_total=0.1604193, val_nmse=0.1604193, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=59, lr=1.000000e-03, train_total=0.1557310, train_mask=0.0000000, val_total=0.1611936, val_nmse=0.1611936, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=60, lr=1.000000e-03, train_total=0.1556065, train_mask=0.0000000, val_total=0.1599473, val_nmse=0.1599473, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=61, lr=1.000000e-03, train_total=0.1550935, train_mask=0.0000000, val_total=0.1602018, val_nmse=0.1602018, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=62, lr=1.000000e-03, train_total=0.1554028, train_mask=0.0000000, val_total=0.1601843, val_nmse=0.1601843, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=63, lr=1.000000e-03, train_total=0.1563382, train_mask=0.0000000, val_total=0.1586783, val_nmse=0.1586783, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=64, lr=1.000000e-03, train_total=0.1550986, train_mask=0.0000000, val_total=0.1595175, val_nmse=0.1595175, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=65, lr=1.000000e-03, train_total=0.1545837, train_mask=0.0000000, val_total=0.1611280, val_nmse=0.1611280, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=66, lr=1.000000e-03, train_total=0.1548962, train_mask=0.0000000, val_total=0.1613665, val_nmse=0.1613665, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=67, lr=1.000000e-03, train_total=0.1549931, train_mask=0.0000000, val_total=0.1588986, val_nmse=0.1588986, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=68, lr=1.000000e-03, train_total=0.1548615, train_mask=0.0000000, val_total=0.1601147, val_nmse=0.1601147, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=69, lr=1.000000e-03, train_total=0.1545428, train_mask=0.0000000, val_total=0.1623718, val_nmse=0.1623718, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=70, lr=1.000000e-03, train_total=0.1543880, train_mask=0.0000000, val_total=0.1604085, val_nmse=0.1604085, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=71, lr=1.000000e-03, train_total=0.1554122, train_mask=0.0000000, val_total=0.1614164, val_nmse=0.1614164, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=72, lr=1.000000e-03, train_total=0.1544378, train_mask=0.0000000, val_total=0.1600765, val_nmse=0.1600765, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=73, lr=1.000000e-03, train_total=0.1540719, train_mask=0.0000000, val_total=0.1586211, val_nmse=0.1586211, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=74, lr=1.000000e-03, train_total=0.1544630, train_mask=0.0000000, val_total=0.1626738, val_nmse=0.1626738, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=75, lr=1.000000e-03, train_total=0.1543618, train_mask=0.0000000, val_total=0.1636247, val_nmse=0.1636247, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=76, lr=1.000000e-03, train_total=0.1539544, train_mask=0.0000000, val_total=0.1599002, val_nmse=0.1599002, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=77, lr=1.000000e-03, train_total=0.1536718, train_mask=0.0000000, val_total=0.1593575, val_nmse=0.1593575, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=78, lr=1.000000e-03, train_total=0.1537675, train_mask=0.0000000, val_total=0.1605129, val_nmse=0.1605129, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
