epoch=32, lr=1.000000e-03, train_total=0.2525838, train_mask=0.2138905, val_total=0.2947781, val_nmse=0.2216121, val_mask=0.2438865, val_clean=0.1727701, gate=0.085250, lambda_mask=0.300000
epoch=33, lr=1.000000e-03, train_total=0.2517484, train_mask=0.2138377, val_total=0.2936976, val_nmse=0.2201367, val_mask=0.2452029, val_clean=0.1711262, gate=0.088000, lambda_mask=0.300000
epoch=34, lr=1.000000e-03, train_total=0.2506937, train_mask=0.2139321, val_total=0.2934559, val_nmse=0.2196155, val_mask=0.2461346, val_clean=0.1710578, gate=0.090750, lambda_mask=0.300000
epoch=35, lr=1.000000e-03, train_total=0.2515362, train_mask=0.2140727, val_total=0.2940657, val_nmse=0.2206557, val_mask=0.2446997, val_clean=0.1716276, gate=0.093500, lambda_mask=0.300000
epoch=36, lr=1.000000e-03, train_total=0.2512393, train_mask=0.2139040, val_total=0.2907527, val_nmse=0.2171853, val_mask=0.2452246, val_clean=0.1677488, gate=0.096250, lambda_mask=0.300000
epoch=37, lr=1.000000e-03, train_total=0.2503849, train_mask=0.2138477, val_total=0.2933981, val_nmse=0.2195666, val_mask=0.2461051, val_clean=0.1708460, gate=0.099000, lambda_mask=0.300000
epoch=38, lr=1.000000e-03, train_total=0.2501604, train_mask=0.2138127, val_total=0.2930231, val_nmse=0.2198510, val_mask=0.2439069, val_clean=0.1708676, gate=0.101750, lambda_mask=0.300000
epoch=39, lr=1.000000e-03, train_total=0.2495817, train_mask=0.2138318, val_total=0.2911145, val_nmse=0.2174878, val_mask=0.2454221, val_clean=0.1678963, gate=0.104500, lambda_mask=0.300000
epoch=40, lr=1.000000e-03, train_total=0.2498593, train_mask=0.2137865, val_total=0.3025010, val_nmse=0.2288208, val_mask=0.2456007, val_clean=0.1766463, gate=0.107250, lambda_mask=0.300000
epoch=41, lr=1.000000e-03, train_total=0.2501144, train_mask=0.2137437, val_total=0.2923527, val_nmse=0.2190782, val_mask=0.2442481, val_clean=0.1693219, gate=0.110000, lambda_mask=0.300000
